Product Name,Product Price,Product URL,Description,ASIN,Product Description,Manufacturer
Gear DOUBLE DECKER 31L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Black),"₹1,482",https://www.amazon.in/Gear-DOUBLE-DECKER-Resistant-Backpack/dp/B0BTJ3WTMV,,,,
"GENIE Miami Casual Backpacks for Women, 14 inch, Stylish and Trendy College backpacks for girls, Water Resistant and Lightweight Mini Bags Latest collection (Rose)",₹749,https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGQ2R4,,,,
"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Black), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure","₹1,949",https://www.amazon.in/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JMR4M6,"Seek 32L is a compact offering from Safari's overnighter laptop backpack ranges. Equipped with a unique offering of luggage-like opening (or book opening), this bag is perfect to meet ALL your travel needs - Work or Adventure Leisure! Made out of water-resistant fabric & front panel design, it serves as a highly elegant look. On the inside, cross packing straps are provided to help organise your packing. With a 17"" laptop and a tablet compatibility compartment Seek 32 has a total capacity of 32 liters, provided with compression straps and breathable back mesh that prevents the back of the backpack from overheating. Go ahead and add this friendly Seek overnighter backpack to your travel collection, whether it be for a short business trip or a weekend getaway!",,"Product description    
 Seek 32L is a compact offering from Safari's overnighter laptop backpack ranges. Equipped with a unique offering of luggage-like opening (or book opening), this bag is perfect to meet ALL your travel needs - Work or Adventure Leisure! Made out of water-resistant fabric & front panel design, it serves as a highly elegant look. On the inside, cross packing straps are provided to help organise your packing. With a 17"" laptop and a tablet compatibility compartment Seek 32 has a total capacity of 32 liters, provided with compression straps and breathable back mesh that prevents the back of the backpack from overheating. Go ahead and add this friendly Seek overnighter backpack to your travel collection, whether it be for a short business trip or a weekend getaway!",Visit the Safari Store
ASTRID Round Textured Sling Bag For Girls With Zip,₹429,https://www.amazon.in/ASTRID-Round-Textured-Magical-Maroon/dp/B09DCTPZ2Q,,,,
Lavie Sport Charge 36 litres Backpack with Laptop Sleeve | School College Bag for Boys & Girls,₹839,https://www.amazon.in/Lavie-Sport-Casual-Backpack-Charge/dp/B083KW31YD,"Care Instructions: Do not expose to extreme heat    The CHARGE School backpack from Lavie Sport is a unique backpack built with water proof harlequin twill polyester fabric, premium interior lining for added strength and reliable performance    CHARGE backpack offers dedicated laptop sleeve, front pocket & multi-purpose organizer, 3 spaciuos zippered compartments & external pockets for bottle, umbrella etc for storage    It features padded back support for comfort and adjustable shoulder straps that helps to distribute the pack weight    External Dimension: 33 x 21 x 49 cm (LxWxH), Capacity – 36 litres.    Manufacturer warranty - 12 months",,,Visit the Lavie Sport Store
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag,"₹1,358",https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D21FV,,,,
COSMUS Darwin Navy Blue Laptop Backpack for (15.6 inch),"₹1,333",https://www.amazon.in/COSMUS-Polyester-Navy-Laptop-Backpack/dp/B01FVQLLU0,,,,
"Storite PU Leather 14 Inch Laptop Shoulder Messenger Sling Office Business Travel Bag for Men & Women (Brown, 40cm x 29cm x 6cm)","₹1,059",https://www.amazon.in/Storite-Laptop-Briefcase-Messenger-Bag/dp/B08VWF41VX,,,,
Aristocrat Polyester Hard 60 Cms Luggage- Suitcase(Dfroo62Etbl_Teal Blue),₹999,https://www.amazon.in/Aristocrat-Rookie-Duffle-Teal-Blue/dp/B09NXV58V3,,,,
HARISSONS Bags Volt 15.6 inch Office Laptop Backpacks for Men and Women,"₹1,504",https://www.amazon.in/Harissons-Office-Laptop-Backpacks-Women/dp/B09D3YYYNG,,,,
NIVIA Sports Space Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Sports and Travel Bag/Sports Kit/Duffle Bags Travel,₹580,https://www.amazon.in/Nivia-5412BY-Polyester-Sports-Yellow/dp/B017IPN5SI,,,,
Lavie Women's Chapada Satchel Bag | Ladies Purse Handbag,"₹1,069",https://www.amazon.in/Lavie-Chapada-Womens-Handbag-Black/dp/B07CT25R4H,,,,
Rainstream 12 Laptop Backpacks with rain Cover 37 LTR Casual Laptop Bags/Office Laptop Bags,₹899,https://www.amazon.in/Rainstream-Laptop-Backpacks-Casual-Office/dp/B091PTJWHK,,,,Brand: Rainstream
"ANNACREATIONS Stylish Mermaid Duffle Sports Dance Gymnastics Sports Gym Bag, Kids Travel Bag for Girls (Style 3)",₹375,https://www.amazon.in/ANNACREATIONS-Stylish-Mermaid-Duffle-Gymnastics/dp/B0BMGK1L2X,,,,
Protecta The Professional Laptop Bag Briefcase for Laptops with Screen Size Up to 15.6 Inch (Black & Indian Geometric Print),₹669,https://www.amazon.in/Protecta-Professional-15-6-inch-Briefcase-Geometric/dp/B07GNCRCP4,,,,
PUMA Laptop Backpack IND II Black-CASTLEROCK,"₹1,149",https://www.amazon.in/PUMA-Laptop-Backpack-IND-Black-CASTLEROCK/dp/B08BV2S9K1,,,,
"BROGBUS pu Leather Men Bag Casual Business Messenger Bag for Cross body Bag Male Shoulder Bags PU Leather Sling Messenger Bag (Brown, L- 10.05inch H- 11.5inch W- 3inch)",₹939,https://www.amazon.in/BROGBUS-Business-Messenger-Sling-10-05inch/dp/B09QLD9GJY,,,,
"SNDIA 2-Set Multipurpose Transparent Travel Pouch Makeup Toiletry Kit Bag Cosmetic Pouch for Women Makeup Organizer Bag Plastic Box Vanity, Shaving Kit Toiletry Bag for Men (23.5x15.5x10 cm)",₹398,https://www.amazon.in/SNDIA-Transparent-Storage-Cosmetic-Toiletry/dp/B095PFZLJR,,,,
Tinytot School Bag School Backpack College Backpack Travel Backpack Office Backpack Multipurpose Backpack Picnic Bag for Boys & Girls,₹589,https://www.amazon.in/Tinytot-School-Backpack-College-Multipurpose/dp/B09C5JVWCW,,,,
"Wearslim Gym Bag, Sports Edition PU Leather Gym Duffel Bag, Crossbody Bag, Gym Yoga Bag, Travel Shoulder Bag for Men and Women - Black",₹299,https://www.amazon.in/Wearslim-Sports-Leather-Crossbody-Shoulder/dp/B096B9SZWN,,,,
"EVRUM Sling Bag For Men CrossBody Backpack For Men Women, Anti-Theft Chest Bag With USB Charging Port, Waterproof Casual Shoulder Bag Travel Hiking Sling Backpack Carbon Fiber","₹1,619",https://www.amazon.in/EVRUM-Business-Protection-Crossbody-Waterproof/dp/B0BX6VKQ35,,,,
Martucci Large 35 L Backpack Spacy Unisex/College/School/Travel Backpack with Rain Cover and Reflective Strip,₹765,https://www.amazon.in/Martucci-Backpack-College-Reflective-Airport/dp/B0B7DVC3TL,,,,
Lavie Sport Atlantis Backpack with Laptop Sleeve | Men | Women | 15 inch Laptop Compatible | 3 compartments | Office Business Casual Bagpack,₹969,https://www.amazon.in/Lavie-Sport-Laptop-Backpack-BDEI323043M3/dp/B07VCKRMJ5,,,,
Lavie Sport Atlantis Backpack with Laptop Sleeve | Men | Women | 15 inch Laptop Compatible | 3 compartments | Office Business Casual Bagpack,₹969,https://www.amazon.in/Lavie-Sport-Laptop-Backpack-BDEI323043M3/dp/B07VCKRMJ5,,,,
Wooum Water Resistant Material Sling Bag/One Side Bag/Shoulder Bag/Messenger Bag/Office Messenger Bag/Travel Side Bag with 14.1 Inch Laptop Compartment -,₹474,https://www.amazon.in/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL,,,,
American Tourister Harp Wheel Duffle Trolley 62 CM Grey,"₹1,799",https://www.amazon.in/American-Tourister-Wheel-Duffle-Trolley/dp/B0BTHMMM38,,,,
"DIVULGE Multi Utility Drawstring Bag (Black , 16 L)",₹153,https://www.amazon.in/DIVULGE-Drawstring-Bag-Sports-Utility/dp/B07PXTDBH4,,,,
F Gear Bi Frost 47 cms Casual Laptop Backpack (2472) - Grey,₹699,https://www.amazon.in/F-Gear-Bi-Frost-Backpack-Grey/dp/B01JGD0FYM,,,,
House of Quirk Solid 16 Cms Cosmetic Pouch (M_MAKEUP_BAG_L_PINK_Pink),₹399,https://www.amazon.in/House-Quirk-Cosmetic-Toiletry-Reusable/dp/B095SBF21D,"Premium Quality - Soft & padded, reliable zippers, nice lining, every detail is delicately made. Our makeup bag would be a great holiday gift for women and girls.    Flexible HOOK&LOOP FASTENER Dividers - 2 big sections. Comes with a cosmetic bag.1 large section can easily accommodate your cosmetics such as foundation, concealer, mascara, eye shadow, powder, blush, lipstick, bronzer etc.    Separate Brushes Compartment - It comes with a separate space to hold your brushes and protect them from dust. Plus an extra makeup bag for items storage.    Water-resistant & Brilliant Colors - Water-resistant inside and outside and durable fabric protects your gear from spills, easy to wipe down. Our makeup bag have 4 brilliant colors for you to choose – PINK, BABY BLUE, GREY, GREEN.    Travel Companion & Best Gift - Practical yet compact design, weighing only 4.6 ounces, much lighter than a bulky makeup bag, so that's a major plus for traveling. The soft sides could easily fit in a crowded suitcase or bag with enough cushion. Best gift-cosmetic bag for women & girl. Makeup bag for women & girl.",,,Visit the House of Quirk Store
"URBAN CARRIER Unisex Waterproof Medium Laptop Backpack for School and Colleges (Grey, Large, 45 Liters)",₹559,https://www.amazon.in/Backpack-Colleges-Luggage-Waterproof-Stylish/dp/B09GYGCK54,,,,
TRUE HUMAN® 32 Ltr Laptop Backpack for Men and Women| USB Port Travel Backpack|College Bags for Girls & Boys (Blue),₹499,https://www.amazon.in/TRUE-HUMAN%C2%AE-Laptop-Backpack-College/dp/B0BKTQ48D5,,,,
"Storite Vintage Canvas Laptop Backpack for Women Men, School College Bag with USB Charging Port Fashion Backpack Fits 14Inch Notebook, (Brown,30x12x41 Cm)",₹749,https://www.amazon.in/Storite-Canvas-Backpack-Charging-Brown/dp/B0B7XBZYFS,,,,
Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,₹399,https://www.amazon.in/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96,,,,
Half Moon Large 35L Laptop College School Travel Bag Backpack for Men Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment Rain Cover & Reflective Strips (Black),₹849,https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BR2WGZD2,,,,
